味道偏甜,3,包装高大上，味道偏甜的，我不太喜欢,除了贵没有任何缺点🤣🤣🤣，所以说呢，一分钱一分货，孩子很爱吃，大人更爱吃🤣🤣🤣，包装很精明，袋子还可以循环利用,这个不好吃太甜了，其他的都不错

价格贵,5,除了贵没有任何缺点🤣🤣🤣，所以说呢，一分钱一分货，孩子很爱吃，大人更爱吃🤣🤣🤣，包装很精明，袋子还可以循环利用,包装完好，日期新鲜，有点小贵哦，期待口感,差不多每个月都买两次，主要是方便烹饪，小贵。

添加剂多,2,吃着有点药水味呢，啥原因啊？加啥不该加的东西了吧？包装挺好，挺精美，吃着也挺嫩,还可以吧，有点太鲜了，感觉味精多，嫩还是挺嫩的

口感太嫩,2,鸡排超级超级嫩，没牙都可以吃的那种，没有一点嚼劲，不是我想要的那种,挺嫩的，还可以，是我吃过各种牌子里味道做的最好的了. 还是推荐的

包装破损,2,确实还可以，包装轻微破损，影响不大。,包装严谨，看着挺新鲜的，吃过后再追评。

分量少,2,好吃 😋 分量不大 价格略贵,好少的分量 价钱贵了些

味道一般,2,感觉这**排味道一般，孩子觉得还行吧,简单方便，口感不错，就是会有点干

调料味重,2,买了奥尔良和原味，感觉原味更好吃一点，奥尔良调料味有点重！很嫩，小朋友也能吃,奥尔良口味的味道还不错，原味儿的需要自己添加调料。比较嫩，相信是无抗生素鸡排。

物流慢,1,发货很快！包装很好！,